date,title,url,publisher,tickers,keywords_matched,catalyst_type,keyword_score,ticker_score,publisher_score,recency_score,composite_score
2026-03-18,"Mark Cuban Dismisses Gen Z Unemployment Fears As 'Wrong,' Countering Bill Gates' Warning That Even AI Skills May Not Guarantee Stability",https://www.benzinga.com/markets/tech/26/03/51316807/mark-cuban-dismisses-gen-z-unemployment-fears-as-wrong-countering-bill-gates-warning-that-even-ai-skills-may-not-guarantee-stability,Rishabh Mishra,,"unemployment, war, miss",Mixed,3,0,0,0,9
2026-03-18,Tim Cook To Exit As Apple CEO Before 2027? Here's What Prediction Market Is Saying,https://www.benzinga.com/markets/prediction-markets/26/03/51316534/tim-cook-to-exit-as-apple-ceo-before-2027-heres-what-prediction-market-is-saying,Rounak Jain,,ceo,Corporate Event,1,0,0,0,3
2026-03-18,Tim Cook To Exit As Apple CEO Before 2027? Here's What Prediction Market Is Saying,https://www.benzinga.com/markets/prediction-markets/26/03/51316535/tim-cook-to-exit-as-apple-ceo-before-2027-heres-what-prediction-market-is-saying,Rounak Jain,,ceo,Corporate Event,1,0,0,0,3
2026-03-18,Trump's Golden Dome Cost Surges To $185 Billion As Space-Based Missile Defense Takes Center Stage,https://www.benzinga.com/news/politics/26/03/51317440/trumps-golden-dome-cost-surges-to-185-billion-as-space-based-missile-defense-takes-center-stage,Badar Shaikh,,miss,Earnings,1,0,0,0,3
2026-03-18,"SpaceX Now Has 10,000 Starlink Satellites In Space — And Polymarket Is Betting The IPO Is Coming Soon",https://www.benzinga.com/markets/prediction-markets/26/03/51337802/spacex-now-has-10000-starlink-satellites-in-space-and-polymarket-is-betting-the-ipo-is-coming-soon,Daragh Thomas,,ipo,Corporate Event,1,0,0,0,3
2026-03-18,Fold Holdings (FLD) Surges Over 12% After Hours— Here's What's Driving the Move,https://www.benzinga.com/markets/equities/26/03/51317298/fold-holdings-fld-surges-over-12-after-hours-heres-whats-driving-the-move,Mohd Haider,,,General,0,0,0,0,0
2026-03-18,S&P 500 Braces For Triple Witching As Financials Signal Deeper Correction: Index Closed Up 'Only 25% Of The Time' In Last 5-Years,https://www.benzinga.com/etfs/broad-u-s-equity-etfs/26/03/51320368/sp-500-braces-for-triple-witching-as-financials-signal-deeper-correction-index-closed-up-only-25-of-the-time-in-last-5-years,Rishabh Mishra,,,General,0,0,0,0,0
2026-03-18,What's Going On With Intel Stock Wednesday?,https://www.benzinga.com/trading-ideas/movers/26/03/51322694/whats-going-on-with-intel-stock-wednesday-5,Kaustubh Bagalkote,,,General,0,0,0,0,0
2026-03-18,"Boeing Seen Steady On Production, Defense Upside Despite Near-Term Margin Pressure, Says BofA Analyst",https://www.benzinga.com/analyst-stock-ratings/reiteration/26/03/51330433/boeing-seen-steady-on-production-defense-upside-despite-near-term-margin-pressure-says-bofa-analyst,Kaustubh Bagalkote,,,General,0,0,0,0,0
2026-03-18,"Fidelity Sees Calm During Private Credit Frenzy, 'Remains A Compelling Asset Class'",https://www.benzinga.com/markets/private-markets/26/03/51332318/fidelity-sees-calm-during-private-credit-frenzy-remains-a-compelling-asset-class,Caroline Ryan,,,General,0,0,0,0,0
